room_id,name,description,theme,room_photo,private
1001,Calyptorhynchus magnificus,erat,20,http://dummyimage.com/135x221.png/cc0000/ffffff,false
1002,Sciurus niger,eget massa tempor convallis nulla,72,http://dummyimage.com/133x166.bmp/ff4444/ffffff,false
1003,Zonotrichia capensis,at nulla suspendisse potenti,41,http://dummyimage.com/231x168.bmp/cc0000/ffffff,false
1004,Camelus dromedarius,id sapien in,43,http://dummyimage.com/141x244.jpg/dddddd/000000,false
1005,Naja nivea,morbi sem,54,http://dummyimage.com/136x117.png/cc0000/ffffff,false
1006,Tayassu pecari,posuere felis sed,94,http://dummyimage.com/219x220.bmp/ff4444/ffffff,true
1007,Rhea americana,fusce lacus purus aliquet at,19,http://dummyimage.com/230x200.bmp/5fa2dd/ffffff,true
1008,Kobus leche robertsi,ac nibh fusce lacus purus,39,http://dummyimage.com/104x177.png/ff4444/ffffff,false
1009,Spermophilus parryii,ante vel ipsum praesent blandit,36,http://dummyimage.com/142x212.png/ff4444/ffffff,false
1010,Ratufa indica,ante vivamus tortor duis mattis,34,http://dummyimage.com/126x132.png/ff4444/ffffff,false
1011,Zenaida galapagoensis,mauris lacinia,47,http://dummyimage.com/194x100.bmp/ff4444/ffffff,true
1012,Vulpes cinereoargenteus,tristique in tempus,65,http://dummyimage.com/195x198.jpg/cc0000/ffffff,true
1013,Ciconia episcopus,dolor vel est donec odio,7,http://dummyimage.com/127x109.bmp/5fa2dd/ffffff,false
1014,Dendrocitta vagabunda,posuere cubilia curae,71,http://dummyimage.com/169x216.png/dddddd/000000,true
1015,Macropus rufogriseus,lacus at turpis,28,http://dummyimage.com/192x185.bmp/ff4444/ffffff,false
1016,Mirounga leonina,commodo placerat praesent,10,http://dummyimage.com/189x240.jpg/cc0000/ffffff,true
1017,Mazama gouazoubira,eros,10,http://dummyimage.com/187x210.bmp/ff4444/ffffff,true
1018,Threskionis aethiopicus,diam cras pellentesque volutpat,4,http://dummyimage.com/157x162.jpg/5fa2dd/ffffff,true
1019,Tringa glareola,nibh in hac habitasse,4,http://dummyimage.com/183x206.bmp/ff4444/ffffff,false
1020,Lycosa godeffroyi,iaculis diam,54,http://dummyimage.com/116x187.bmp/cc0000/ffffff,true
1021,Vulpes vulpes,amet justo morbi ut odio,16,http://dummyimage.com/116x113.bmp/5fa2dd/ffffff,false
1022,Dicrurus adsimilis,parturient montes nascetur ridiculus,84,http://dummyimage.com/164x209.bmp/cc0000/ffffff,false
